time,latitude,longitude,depth,mag
2014-07-11T19:35:52.550Z,36.907,142.4134,11.65,4.8
2014-07-11T19:38:03.480Z,36.86,142.6559,20.99,4.7
2014-07-11T19:39:37.590Z,36.782,142.8209,10,4.7
2014-07-11T19:42:58.120Z,36.8053,142.5571,10.59,4.5
2014-07-11T19:47:36.690Z,36.8633,142.5422,9.84,4.6
2014-07-11T19:51:25.390Z,36.9436,142.5819,18.15,4.8
2014-07-11T19:59:11.710Z,36.865,142.4573,11.79,4.7
2014-07-11T20:06:17.600Z,36.9009,142.5172,23.26,4.5
2014-07-11T21:00:33.240Z,36.9778,142.5078,33.62,4.5
2014-07-11T21:49:21.910Z,36.8208,142.543,33.33,4.5
2014-07-12T00:56:59.570Z,36.9348,142.5163,27.13,4.5
2014-07-12T09:29:56.380Z,36.9473,142.3437,10,4.5
2014-07-12T17:44:20.040Z,36.8748,142.584,19.48,4.5
2014-07-12T19:10:07.070Z,36.9231,142.3595,27.38,4.5
2014-07-13T19:44:13.500Z,36.9658,142.6178,25.92,4.5
2014-07-14T14:41:51.330Z,33.1205,141.8942,10,4.6
2014-07-14T15:57:14.960Z,33.0769,141.8452,10,4.6
2014-07-15T10:43:13.910Z,37.0347,142.7481,24.56,4.5
2014-07-15T20:43:40.590Z,36.7091,142.4669,9.74,4.7
2014-07-16T08:24:54.790Z,36.9154,140.8714,36.88,4.6
2014-07-18T04:38:50.380Z,37.1007,142.6359,10,4.6
2014-07-19T01:42:53.790Z,36.0302,140.1164,66.4,4.6
2014-07-20T01:25:33.470Z,36.5102,140.6291,56.37,4.6
2014-07-20T13:30:21.290Z,32.1242,134.3928,26.32,4.6
2014-07-21T12:36:54.500Z,36.9689,142.6956,12.65,4.5
2014-07-21T15:58:02.980Z,35.9561,137.8883,10,4.7
2014-07-21T23:38:17.630Z,35.4329,141.139,30.72,4.5
2014-07-25T04:18:16.240Z,41.5694,142.1922,64.06,5.1
2014-07-26T20:38:31.090Z,36.9831,142.5678,21.64,4.6
2014-07-27T05:58:14.890Z,33.1248,140.5182,59.87,4.6
2014-07-27T09:24:15.930Z,39.6127,142.2151,50.63,4.5
2014-07-27T18:09:10.320Z,35.4823,140.6271,58.01,4.7
2014-07-28T04:36:48.490Z,36.1424,141.9807,17.48,4.5
2014-07-28T06:15:37.660Z,34.7231,139.2809,35,4.6
2014-07-28T14:36:12.480Z,37.0207,142.6297,10,4.5
2014-07-28T19:01:37.060Z,36.9904,142.4847,32.65,4.6
2014-07-29T20:05:16.440Z,35.6281,140.186,69.36,4.8
2014-07-30T14:57:06.800Z,37.1403,141.1509,49.32,4.5
2014-08-02T16:09:56.580Z,33.2997,131.6528,94.87,4.7
2014-08-03T00:54:56.780Z,37.9046,142.4167,57.93,4.5
2014-08-03T18:08:28.820Z,36.7006,142.0208,32.03,4.5
2014-08-04T05:58:21.380Z,39.2282,142.1889,35,4.7
2014-08-04T19:36:36.950Z,32.6011,140.6833,68.89,4.7
2014-08-06T15:12:05.080Z,38.9387,142.0765,60.2,4.6
2014-08-06T20:05:43.810Z,40.0545,140.7424,24.72,4.6
2014-08-10T03:43:17.240Z,41.1585,142.1309,41,6.1
2014-08-12T00:47:22.360Z,34.2586,140.3887,86.63,4.7
2014-08-12T20:34:14.450Z,31.649,142.3109,20.39,4.6
2014-08-13T22:51:28.660Z,33.8501,131.888,81.85,4.5
2014-08-15T12:24:45.700Z,36.8394,142.5464,35,4.6
2014-08-15T18:45:04.050Z,36.353,140.9326,39.15,4.5
2014-08-15T20:25:07.900Z,36.7183,142.3365,30.68,4.7
2014-08-17T18:15:53.080Z,36.8289,142.4714,10,4.8
2014-08-20T02:57:17.880Z,41.0806,142.2608,60.81,4.6
2014-08-20T19:38:25.260Z,33.1969,138.1144,307.89,5.2
2014-08-23T18:33:13.220Z,36.7093,141.2369,6.47,4.6
2014-08-24T08:26:51.330Z,36.0113,139.7891,82.81,4.7
2014-08-24T20:30:04.790Z,37.7105,141.8238,41.85,4.5
2014-08-25T03:40:07.160Z,36.2162,141.9371,20.74,4.5
2014-08-25T18:42:19.280Z,34.353,134.9298,27.59,4.6
2014-08-25T19:51:02.080Z,39.754,141.84,69.56,4.5
2014-08-26T02:22:51.670Z,36.4068,140.3528,116.42,4.8
2014-08-26T03:36:20.720Z,39.0591,142.4241,60.1,4.5
2014-08-26T19:49:33.660Z,38.2126,142.0605,37.06,4.6
2014-08-27T04:48:58.370Z,41.0699,143.167,26,5.4
2014-08-27T06:44:16.100Z,36.7142,141.2233,10.94,4.5
2014-08-27T10:25:54.850Z,35.3737,141.2723,30.98,4.6
2014-08-28T19:14:35.550Z,32.0864,132.0682,20,5.8
2014-08-28T19:32:00.400Z,31.918,132.0843,10,4.5
2014-08-29T07:35:09.230Z,36.8653,141.2365,35,4.9
2014-08-29T13:33:42.270Z,36.8976,143.1734,35.2,4.5
2014-08-30T20:42:29.360Z,37.6427,142.3406,10,4.5
2014-08-30T20:44:29.390Z,37.0547,141.1474,53.63,4.5
2014-09-01T01:26:35.990Z,38.2503,142.182,37.3,4.6
2014-09-03T07:24:21.920Z,36.8594,139.4288,29.71,5.2
2014-09-03T10:11:15.290Z,35.3204,141.2211,23.7,4.8
2014-09-03T20:34:38.450Z,36.7918,139.4332,10,4.7
2014-09-03T20:36:49.520Z,36.6765,139.5155,7.87,4.6
2014-09-06T08:31:57.570Z,42.0202,142.5397,66.62,4.8
2014-09-06T14:34:31.710Z,37.5427,140.6756,91.74,4.5
2014-09-09T02:43:13.940Z,35.6166,140.5692,68.65,4.6
2014-09-10T01:09:36.410Z,40.1424,141.828,68.69,4.8
2014-09-16T03:28:30.310Z,36.0873,139.8502,49.94,5.5
2014-09-18T12:52:33.460Z,31.7037,142.4721,28.28,4.5
2014-09-18T13:29:13.910Z,31.2425,140.9142,78.04,4.5
2014-09-18T16:34:49.360Z,37.9936,141.859,56.53,4.5
2014-09-22T07:13:39.060Z,31.4608,141.8306,10,4.7
2014-09-23T11:04:29.380Z,31.3695,141.7606,10,4.8
2014-09-24T12:45:46.920Z,37.5179,141.3349,50.96,5.2
2014-09-24T13:30:57.020Z,37.5477,141.3659,53.08,5.1
2014-09-24T22:29:25.830Z,35.0716,141.4264,24.68,4.5
2014-09-25T04:25:45.230Z,42.014,142.4878,68.6,4.6
2014-09-26T08:49:45.780Z,41.602,142.0917,67.18,4.5
2014-09-28T06:09:31.670Z,36.1824,140.1195,52.22,4.5
2014-09-30T00:41:56.040Z,32.3206,141.834,10,4.5
2014-10-02T05:32:36.150Z,38.4099,141.8047,52.45,4.6
2014-10-03T00:57:30.710Z,40.1565,142.7657,30,5.5
2014-10-04T17:50:32.930Z,31.4106,141.6044,10,4.5
2014-10-05T15:09:16.650Z,37.4722,141.297,51.88,4.6
2014-10-06T06:37:58.700Z,38.2524,142.0632,35,4.6
2014-10-10T08:22:07.110Z,39.0297,142.069,65.49,4.6
2014-10-10T20:16:57.140Z,36.4853,142.4856,35,4.7
2014-10-11T02:35:47.480Z,41.0272,143.1649,22,6.1
2014-10-11T05:20:35.040Z,40.9544,143.0805,20,5.4
2014-10-11T09:58:10.370Z,40.8383,143.1698,32.7,4.5
2014-10-11T10:05:42.550Z,40.9867,143.105,36.33,4.7
2014-10-11T20:28:08.150Z,35.6642,140.8939,22.75,4.5
2014-10-13T15:41:19.080Z,36.2106,140.9481,34.46,4.6
2014-10-13T21:24:58.840Z,40.9721,141.7329,70.88,4.7
2014-10-14T18:08:45.960Z,40.9297,143.2338,29.32,5
2014-10-15T03:51:16.030Z,38.5725,141.6264,61.44,4.7
2014-10-15T23:53:02.260Z,31.7863,140.5047,60,5.5
2014-10-17T09:58:31.840Z,36.0186,140.9407,36.67,4.6
2014-10-19T08:51:17.840Z,30.9433,141.9129,10.95,4.7
2014-10-23T19:30:42.020Z,36.4281,141.0169,38.23,4.5
2014-10-24T10:56:13.500Z,35.4505,141.5157,17.88,4.5
2014-10-27T04:02:57.780Z,40.6457,142.6868,55,4.6
2014-10-27T04:32:59.560Z,40.7159,141.943,81.15,4.6
2014-10-27T06:36:24.650Z,35.8148,140.1114,71.67,4.7
2014-10-27T11:47:11.860Z,32.3049,141.8541,3.5,4.6
2014-10-28T17:37:27.480Z,36.1202,141.1505,17.15,4.5
2014-10-31T06:33:32.780Z,40.1652,142.4054,43.34,4.7
2014-11-01T05:44:57.410Z,33.856,142.5355,10,4.7
2014-11-01T07:47:45.250Z,41.9403,142.4703,52.21,4.7
2014-11-01T10:36:27.680Z,33.6533,131.9462,73.97,4.5
2014-11-02T08:41:38.110Z,40.5326,141.5386,106.65,4.5
2014-11-03T13:34:00.190Z,34.1848,141.0893,42.36,4.6
2014-11-07T23:54:22.850Z,37.804,142.299,42.44,5.1
2014-11-08T12:09:30.160Z,38.7985,142.0129,61.9,4.5
2014-11-11T10:25:51.110Z,36.8356,139.4274,118.61,4.6
2014-11-12T00:53:28.190Z,36.1199,140.1107,68.49,4.8
2014-11-12T01:13:57.240Z,34.2559,135.6032,62.38,4.6
2014-11-12T03:05:18.540Z,38.8492,142.0585,54.06,4.5
2014-11-12T11:04:48.910Z,33.0208,140.6623,66.24,5.1
2014-11-13T15:56:39.320Z,36.7689,140.7834,39.86,4.5
2014-11-15T00:56:43.860Z,38.1567,142.02,55.26,4.5
2014-11-15T10:20:54.030Z,37.0309,141.6229,45.22,4.5
2014-11-17T17:46:04.820Z,38.3839,142.2307,37.49,4.5
2014-11-18T14:19:00.290Z,39.8329,141.6725,55.1,4.5
2014-11-18T21:15:38.840Z,36.9578,140.5961,105.59,4.5
2014-11-20T01:51:42.180Z,37.3226,141.6082,32,5.6
2014-11-22T00:07:10.670Z,37.2886,141.6292,24.41,4.5
2014-11-22T13:08:18.420Z,36.6408,137.8875,9,6.2
2014-11-22T13:37:48.890Z,36.6804,137.9236,7.1,4.6
2014-11-22T13:54:58.740Z,36.8175,137.8689,7.47,4.6
2014-11-22T16:45:53.610Z,37.7204,140.9815,80.88,4.5
2014-11-23T13:34:54.760Z,39.6015,143.2619,18.17,5
2014-11-24T21:26:57.220Z,36.7696,138.0384,8.58,4.5
2014-11-28T23:48:21.020Z,39.606,143.2059,36.95,4.7
2014-11-29T23:00:18.800Z,32.9767,136.9785,12.24,4.6
2014-12-02T16:00:39.550Z,37.0197,140.7509,10,4.7
2014-12-03T14:19:51.080Z,35.3071,137.0914,40.7,4.5
2014-12-04T03:35:24.910Z,35.4972,141.0157,24.54,4.7
2014-12-05T12:35:50.980Z,30.9867,141.8889,10,5
2014-12-05T16:01:56.830Z,35.5141,135.7189,355.12,5
2014-12-08T04:05:08.140Z,35.5439,140.3485,56.92,4.6
2014-12-09T11:11:29.600Z,36.204,140.9578,33.58,4.6
2014-12-09T20:49:59.460Z,32.581,141.4514,37.74,4.6
2014-12-11T06:07:51.970Z,35.5717,139.0096,28.44,4.5
2014-12-11T23:50:12.800Z,32.1369,141.6591,33.53,4.5
2014-12-12T00:09:47.530Z,32.2103,141.9422,35.26,4.5
2014-12-12T05:41:54.900Z,39.993,142.0373,66.19,4.6
2014-12-13T18:30:22.920Z,37.3894,142.5737,3.23,4.9
2014-12-13T19:46:58.380Z,36.6555,141.5453,41.31,4.6
2014-12-14T05:25:17.790Z,36.0375,141.9494,9.47,4.6
2014-12-15T10:54:26.010Z,35.0032,140.4572,76.12,4.6
2014-12-16T10:12:51.080Z,31.1098,141.7797,10,5.1
2014-12-17T18:45:06.440Z,38.9056,141.9804,54.71,4.7
2014-12-18T15:16:58.860Z,39.2771,142.6117,51.47,4.5
2014-12-20T09:29:57.490Z,37.4017,141.5534,31.31,5.9
2014-12-20T09:49:55.390Z,38.1506,141.6244,55.09,4.8
2014-12-21T05:39:36.760Z,30.9075,142.0141,29.3,5.1
2014-12-21T16:17:06.740Z,36.5993,138.0163,19.95,4.6
2014-12-24T23:06:05.470Z,37.2516,141.5576,10,5.2
2014-12-26T01:49:07.840Z,33.5996,141.2795,39.14,4.8
2014-12-26T21:04:40.950Z,38.2494,141.879,69.47,4.5
2014-12-27T18:19:03.530Z,37.5776,141.7149,45.18,4.7
2014-12-28T09:00:54.920Z,41.9331,142.5007,59.06,4.7
2014-12-31T02:07:03.010Z,35.8841,141.024,42.81,4.5
2014-12-31T14:02:19.720Z,36.5392,141.179,6.62,4.6
2014-12-31T14:49:46.170Z,35.7823,139.9016,89.64,4.5
2015-01-01T05:01:10.640Z,38.8957,142.0405,41.39,4.8
2015-01-09T23:02:14.010Z,38.2929,141.6041,57.38,4.6
2015-01-12T12:39:09.160Z,35.8296,142.0408,36.29,4.8
2015-01-12T23:51:35.620Z,31.4441,131.0491,55.8,4.5
2015-01-13T17:46:43.590Z,39.3673,142.0208,43.67,4.8
2015-01-15T01:34:17.900Z,40.9332,143.0831,35,4.5
2015-01-17T18:17:37.100Z,37.3677,142.0544,34.91,4.7
2015-01-18T13:44:00.290Z,36.2786,142.0074,35.22,4.6
2015-01-19T03:15:02.730Z,40.4414,141.9813,31.88,4.6
2015-01-19T22:34:49.010Z,37.2051,138.4549,182.82,4.8
2015-01-23T17:36:38.470Z,34.4104,139.6851,124.03,4.7
2015-01-24T09:24:09.880Z,33.2289,140.935,22.72,4.7
2015-01-24T13:28:29.890Z,37.889,142.8069,17.16,4.5
2015-01-25T13:02:17.520Z,39.9178,141.7953,69.18,4.5
2015-01-25T22:20:01.840Z,35.8284,140.5333,34.89,4.9
2015-01-29T16:53:44.650Z,37.3839,141.8355,45.67,4.6
